num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent
1,0,False,1,f7adf_00000,2025-10-27_23-04-47,1761566687,62.93840718269348,62.93840718269348,3349018,u22,192.168.1.104,62.93840718269348,1,60.00950357597321,1.928902929648757e-05,60.00915148999775,60.00909645797219,0,0,0,6.935555555555556,44.03777777777778
1,0,False,2,f7adf_00000,2025-10-27_23-04-49,1761566689,1.9917073249816895,64.93011450767517,3349018,u22,192.168.1.104,64.93011450767517,2,59.42932281825342,0.01993094415869564,59.409061384468224,59.40900673562253,0,0,0,73.8,41.86666666666667
1,0,False,3,f7adf_00000,2025-10-27_23-04-51,1761566691,1.9985735416412354,66.9286880493164,3349018,u22,192.168.1.104,66.9286880493164,3,58.85500502031046,0.039698993456922474,58.81497630325356,58.81492156240602,0,0,0,20.2,44.1
1,0,False,4,f7adf_00000,2025-10-27_23-05-54,1761566754,62.99590253829956,129.92459058761597,3349018,u22,192.168.1.104,129.92459058761597,4,58.86698981841741,0.039734340222385714,58.826926002831115,58.826871223931825,0,4,0,6.717977528089888,44.03146067415731
1,0,False,5,f7adf_00000,2025-10-27_23-05-56,1761566756,1.9983961582183838,131.92298674583435,3349018,u22,192.168.1.104,131.92298674583435,5,58.29830122012344,0.059315963409713277,58.23865806878322,58.23860367557215,0,4,0,71.8,42.13333333333333
1,0,False,6,f7adf_00000,2025-10-27_23-07-01,1761566821,65.01352906227112,196.93651580810547,3349018,u22,192.168.1.104,196.93651580810547,6,58.33558138850243,0.07888991700559778,58.256364590985335,58.25630998923616,0,5,0,16.035869565217393,46.76956521739132
1,0,False,7,f7adf_00000,2025-10-27_23-08-06,1761566886,65.01611757278442,261.9526333808899,3349018,u22,192.168.1.104,261.9526333808899,7,58.372353815466994,0.09813860260543059,58.273889575115895,58.27383499279405,0,8,0,8.438709677419354,48.32258064516128
1,0,False,8,f7adf_00000,2025-10-27_23-09-11,1761566951,65.01604151725769,326.9686748981476,3349018,u22,192.168.1.104,326.9686748981476,8,58.40872422413245,0.11716272848979804,58.291236894454855,58.29118223264588,0,9,0,7.290217391304348,48.11847826086957
1,0,False,9,f7adf_00000,2025-10-27_23-10-16,1761567016,65.01460433006287,391.98327922821045,3349018,u22,192.168.1.104,391.98327922821045,9,58.445049840541216,0.1362940320249349,58.30843272651057,58.308378178699385,0,12,0,7.39247311827957,47.70537634408601
1,0,True,10,f7adf_00000,2025-10-27_23-11-21,1761567081,65.01478552818298,456.99806475639343,3349018,u22,192.168.1.104,456.99806475639343,10,58.48068769710544,0.15493595445475106,58.32542983285564,58.32537529281242,0,13,0,6.945652173913045,47.81956521739131
